#{"t_start": 1773066004.011172, "env_id": "None"}
r,l,t
-26.483474,400,45.589012
-26.283488,400,45.636433
-25.871499,400,45.759454
-26.320297,400,45.882189
-26.192869,400,46.005163
-25.876417,400,46.127295
-26.21895,400,46.174204
-25.989111,400,46.298201
-26.055979,400,46.422228
-26.23284,400,46.545846
-26.040679,400,46.592282
-26.219695,400,46.715722
-26.17685,400,46.838615
-26.138591,400,46.961533
-25.974305,400,47.084412
-26.258699,400,47.131911
-26.216394,400,47.25661
-26.178481,400,47.380848
-25.974335,400,47.504689
-25.971988,400,47.551373
-25.899328,400,47.673795
-26.118551,400,47.797559
-26.201666,400,47.921044
-26.1355,400,48.04387
-26.005498,400,48.090645
-26.07881,400,48.213405
-26.059797,400,48.336788
-26.197303,400,48.459651
-25.82624,400,48.506249
-26.084505,400,48.629566
-26.119022,400,48.753526
-26.225893,400,48.876453
-26.35011,400,48.998037
-26.568581,400,49.044327
-26.009241,400,49.16654
-25.977185,400,49.289822
-25.599744,400,49.413159
-25.739588,400,49.555163
-25.958458,400,49.60214
-25.819763,400,49.724965
-26.266707,400,49.84764
-26.450553,400,49.971204
-26.513559,400,50.018831
-26.301673,400,50.142086
-26.006096,400,50.265499
-25.92861,400,50.388477
-26.346395,400,50.511974
-25.700699,400,50.559469
-26.371884,400,50.683051
-26.010077,400,50.805837
-26.162453,400,50.928917
-26.358596,400,50.975849
-25.815089,400,51.098723
-26.133597,400,51.221732
-26.186495,400,51.345255
-26.246575,400,51.467588
-26.28209,400,51.514353
-25.872178,400,51.637485
-26.342731,400,51.760657
-26.274302,400,51.884101
-26.112259,400,51.931431
-26.153628,400,52.053094
-26.188556,400,52.17421
-26.128754,400,52.299016
-26.293002,400,52.421066
-26.389878,400,52.468184
-26.246324,400,52.591466
-26.416799,400,52.71462
-26.205226,400,52.837476
-26.415961,400,52.960681
-26.60666,400,53.006988
-26.172859,400,53.130383
-26.139141,400,53.253817
-26.025307,400,53.37756
-26.074956,400,53.42519
-26.345148,400,53.54985
-25.905005,400,53.672728
-26.17169,400,53.795739
-25.770261,400,53.918114
-25.925129,400,53.965432
-26.099524,400,54.088344
